"date","rir","customer","providers"
"2023-10-30","ripencc","AS210563","AS6939 AS34927 AS207960"
"2023-10-30","ripencc","AS211244","AS34927 AS207960"
"2023-10-30","ripencc","AS212245","AS200242 AS212068"
"2023-10-31","arin","AS970","AS54874"
"2023-10-31","arin","AS21957","AS970"
"2023-10-31","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-31","ripencc","AS50555","AS970"
"2023-10-31","ripencc","AS202076","AS207960"
"2023-10-31","ripencc","AS202359","AS33920 AS41495"
"2023-10-31","ripencc","AS205789","AS200242 AS207960"
"2023-10-31","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-10-31","ripencc","AS210561","AS207960"
"2023-10-31","ripencc","AS210563","AS6939 AS34927 AS207960"
"2023-10-31","ripencc","AS211244","AS34927 AS207960"
"2023-10-31","ripencc","AS212245","AS200242 AS212068"
"2023-11-01","arin","AS970","AS54874"
"2023-11-01","arin","AS21957","AS970"
"2023-11-01","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-11-01","ripencc","AS50555","AS970"
"2023-11-01","ripencc","AS202076","AS207960"
"2023-11-01","ripencc","AS202359","AS33920 AS41495"
"2023-11-01","ripencc","AS205789","AS200242 AS207960"
"2023-11-01","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-11-01","ripencc","AS210561","AS207960"
"2023-11-01","ripencc","AS210563","AS6939 AS34927 AS207960"
"2023-11-01","ripencc","AS211244","AS34927 AS207960"
"2023-11-01","ripencc","AS212245","AS200242 AS212068"
"2023-11-02","arin","AS970","AS54874"
"2023-11-02","arin","AS21957","AS970"
"2023-11-02","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-11-02","ripencc","AS50555","AS970"
"2023-11-02","ripencc","AS202076","AS207960"
"2023-11-02","ripencc","AS202359","AS33920 AS41495"
"2023-11-02","ripencc","AS205789","AS200242 AS207960"
"2023-11-02","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-11-02","ripencc","AS210561","AS207960"
"2023-11-02","ripencc","AS210563","AS6939 AS34927 AS207960"
"2023-11-02","ripencc","AS211244","AS34927 AS207960"
"2023-11-02","ripencc","AS212245","AS200242 AS212068"
"2023-11-03","arin","AS970","AS54874"
"2023-11-03","arin","AS21957","AS970"
"2023-11-03","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-11-03","ripencc","AS50555","AS970"
"2023-11-03","ripencc","AS202076","AS207960"
"2023-11-03","ripencc","AS202359","AS33920 AS41495"
"2023-11-03","ripencc","AS205603","AS59105"
"2023-11-03","ripencc","AS205789","AS200242 AS207960"
"2023-11-03","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-11-03","ripencc","AS210561","AS207960"
"2023-11-03","ripencc","AS210563","AS6939 AS34927 AS207960"
"2023-11-03","ripencc","AS211244","AS34927 AS207960"
"2023-11-03","ripencc","AS212245","AS200242 AS212068"
"2023-11-04","arin","AS970","AS54874"
"2023-11-04","arin","AS21957","AS970"
"2023-11-04","apnic","AS151642","AS6939 AS61138"
"2023-11-04","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-11-04","ripencc","AS49975","AS6939 AS52210"
"2023-11-04","ripencc","AS50555","AS970"
"2023-11-04","ripencc","AS52210","AS174 AS835 AS6939 AS12186 AS62513"
"2023-11-04","ripencc","AS57194","AS924 AS52210"
"2023-11-04","ripencc","AS202076","AS207960"
"2023-11-04","ripencc","AS202359","AS33920 AS41495"
"2023-11-04","ripencc","AS203843","AS6939 AS20473 AS53667"
"2023-11-04","ripencc","AS205603","AS59105"
"2023-11-04","ripencc","AS205789","AS200242 AS207960"
"2023-11-04","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-11-04","ripencc","AS210561","AS207960"
"2023-11-04","ripencc","AS210563","AS6939 AS34927 AS207960"
"2023-11-04","ripencc","AS211244","AS34927 AS207960"
"2023-11-04","ripencc","AS212245","AS200242 AS212068"
"2023-11-04","ripencc","AS212934","AS835 AS6939 AS34927 AS52210 AS53667 AS62513 AS205848 AS210667"
"2023-11-05","arin","AS970","AS54874"
"2023-11-05","arin","AS21957","AS970"
"2023-11-05","arin","AS40544","AS924 AS6939 AS12186 AS52025"
"2023-11-05","apnic","AS151642","AS6939 AS61138"
"2023-11-05","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-11-05","ripencc","AS48606","AS30893 AS54681 AS57974 AS59678 AS210691 AS212276"
"2023-11-05","ripencc","AS49975","AS6939 AS52210"
"2023-11-05","ripencc","AS50555","AS970"
"2023-11-05","ripencc","AS52025","AS174 AS835 AS906 AS917 AS924 AS6939 AS12186 AS18041 AS20473 AS21700 AS21738 AS25369 AS34927 AS35133 AS36369 AS48070 AS48605 AS51519 AS52210 AS57695 AS209022 AS209533"
"2023-11-05","ripencc","AS52210","AS174 AS835 AS6939 AS12186 AS62513"
"2023-11-05","ripencc","AS57194","AS924 AS52210"
"2023-11-05","ripencc","AS59678","AS6939 AS34927 AS55081"
"2023-11-05","ripencc","AS200351","AS924 AS6939 AS20473 AS21738 AS34927 AS36369 AS41051 AS50917 AS52210 AS53667 AS199545 AS209533"
"2023-11-05","ripencc","AS202076","AS207960"
"2023-11-05","ripencc","AS202359","AS33920 AS41495"
"2023-11-05","ripencc","AS203843","AS6939 AS20473 AS53667"
"2023-11-05","ripencc","AS205603","AS59105"
"2023-11-05","ripencc","AS205789","AS200242 AS207960"
"2023-11-05","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-11-05","ripencc","AS210561","AS207960"
"2023-11-05","ripencc","AS210563","AS6939 AS34927 AS207960"
"2023-11-05","ripencc","AS211244","AS34927 AS207960"
"2023-11-05","ripencc","AS212245","AS200242 AS212068"
"2023-11-05","ripencc","AS212934","AS835 AS6939 AS34927 AS52210 AS53667 AS62513 AS205848 AS210667"
"2023-11-06","arin","AS970","AS54874"
"2023-11-06","arin","AS21957","AS970"
"2023-11-06","arin","AS40544","AS924 AS6939 AS12186 AS52025"
"2023-11-06","apnic","AS151642","AS6939 AS61138"
"2023-11-06","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-11-06","ripencc","AS48606","AS30893 AS54681 AS57974 AS59678 AS210691 AS212276"
"2023-11-06","ripencc","AS49975","AS6939 AS52210"
"2023-11-06","ripencc","AS50555","AS970"
"2023-11-06","ripencc","AS52025","AS174 AS835 AS906 AS917 AS924 AS1299 AS6939 AS12186 AS18041 AS20473 AS21700 AS21738 AS25369 AS29802 AS34927 AS35133 AS35661 AS36369 AS48070 AS48605 AS50917 AS51519 AS52210 AS57695 AS61138 AS209022 AS209533"
"2023-11-06","ripencc","AS52210","AS174 AS835 AS6939 AS12186 AS62513"
"2023-11-06","ripencc","AS57194","AS924 AS52210"
"2023-11-06","ripencc","AS59678","AS6939 AS34927 AS55081"
"2023-11-06","ripencc","AS200351","AS924 AS6939 AS20473 AS21738 AS34927 AS36369 AS41051 AS50917 AS52210 AS53667 AS199545 AS209533"
"2023-11-06","ripencc","AS203843","AS6939 AS20473 AS53667"
"2023-11-06","ripencc","AS205603","AS59105"
"2023-11-06","ripencc","AS205789","AS200242 AS207960"
"2023-11-06","ripencc","AS211244","AS34927 AS207960"
"2023-11-06","ripencc","AS212934","AS835 AS6939 AS34927 AS52210 AS53667 AS62513 AS205848 AS210667"
"2023-11-07","arin","AS970","AS54874"
"2023-11-07","arin","AS21957","AS970"
"2023-11-07","arin","AS40544","AS924 AS6939 AS12186 AS52025"
"2023-11-07","apnic","AS151642","AS6939 AS61138"
"2023-11-07","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-11-07","ripencc","AS48581","AS924 AS6939 AS15353 AS26930 AS30456 AS34465 AS34927 AS50224 AS52025 AS52210 AS60841 AS199765 AS200775 AS204857 AS209533 AS210537"
"2023-11-07","ripencc","AS48606","AS30893 AS54681 AS57974 AS59678 AS210691 AS212276"
"2023-11-07","ripencc","AS49159","AS48581 AS50224 AS60310 AS203635"
"2023-11-07","ripencc","AS49975","AS6939 AS52210"
"2023-11-07","ripencc","AS50224","AS48581 AS60310 AS204857"
"2023-11-07","ripencc","AS50555","AS970"
"2023-11-07","ripencc","AS52025","AS174 AS835 AS906 AS917 AS924 AS1299 AS6939 AS12186 AS18041 AS20473 AS21700 AS21738 AS25369 AS29802 AS34927 AS35133 AS35661 AS36369 AS48070 AS48605 AS50917 AS51519 AS52210 AS57695 AS61138 AS209022 AS209533"
"2023-11-07","ripencc","AS52210","AS174 AS835 AS6939 AS12186 AS62513"
"2023-11-07","ripencc","AS57194","AS924 AS52210"
"2023-11-07","ripencc","AS59678","AS6939 AS34927 AS55081"
"2023-11-07","ripencc","AS60310","AS924 AS6939 AS48581 AS50224 AS52025 AS52210 AS204857"
"2023-11-07","ripencc","AS60841","AS26863 AS30456 AS48581 AS204857"
"2023-11-07","ripencc","AS60900","AS6939 AS15353 AS21738 AS34465 AS34927 AS41051 AS48700 AS52210 AS58057 AS198304 AS205329 AS210667"
"2023-11-07","ripencc","AS200351","AS924 AS6939 AS20473 AS21738 AS34927 AS36369 AS41051 AS50917 AS52210 AS53667 AS199545 AS209533"
"2023-11-07","ripencc","AS203635","AS48581 AS50224 AS60310 AS204857"
"2023-11-07","ripencc","AS203843","AS6939 AS20473 AS53667"
"2023-11-07","ripencc","AS204857","AS20473 AS48581 AS60841"
"2023-11-07","ripencc","AS205603","AS59105"
"2023-11-07","ripencc","AS212934","AS835 AS6939 AS34927 AS52210 AS53667 AS62513 AS205848 AS210667"
"2023-11-08","arin","AS970","AS54874"
"2023-11-08","arin","AS21957","AS970"
"2023-11-08","arin","AS40544","AS924 AS6939 AS12186 AS52025"
"2023-11-08","apnic","AS151642","AS6939 AS61138"
"2023-11-08","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-11-08","ripencc","AS48070","AS174 AS1299"
"2023-11-08","ripencc","AS48581","AS924 AS6939 AS15353 AS26930 AS30456 AS34465 AS34927 AS50224 AS52025 AS52210 AS60841 AS199765 AS200775 AS204857 AS209533 AS210537"
"2023-11-08","ripencc","AS48606","AS30893 AS54681 AS57974 AS59678 AS210691 AS212276"
"2023-11-08","ripencc","AS49159","AS48268 AS48581 AS48599 AS48717 AS50224 AS57870 AS59993 AS60310 AS60743 AS62414 AS199765 AS201398 AS203458 AS203597 AS203635 AS204474 AS209263 AS216462"
"2023-11-08","ripencc","AS49975","AS6939 AS52210"
"2023-11-08","ripencc","AS50224","AS48581 AS60310 AS204857"
"2023-11-08","ripencc","AS50391","AS6939 AS20473 AS48070"
"2023-11-08","ripencc","AS50555","AS970"
"2023-11-08","ripencc","AS52025","AS174 AS835 AS906 AS917 AS924 AS1299 AS6939 AS12186 AS18041 AS20473 AS21700 AS21738 AS25369 AS29802 AS34927 AS35133 AS35661 AS36369 AS48070 AS48605 AS50917 AS51519 AS52210 AS57695 AS61138 AS209022 AS209533"
"2023-11-08","ripencc","AS52210","AS174 AS835 AS6939 AS12186 AS62513"
"2023-11-08","ripencc","AS57194","AS924 AS52210"
"2023-11-08","ripencc","AS59678","AS6939 AS34927 AS55081"
"2023-11-08","ripencc","AS60310","AS924 AS6939 AS48581 AS50224 AS52025 AS52210 AS204857"
"2023-11-08","ripencc","AS60841","AS26863 AS30456 AS48581 AS204857"
"2023-11-08","ripencc","AS60900","AS6939 AS15353 AS21738 AS34465 AS34927 AS41051 AS48700 AS52210 AS58057 AS198304 AS205329 AS210667"
"2023-11-08","ripencc","AS200351","AS924 AS6939 AS20473 AS21738 AS34927 AS36369 AS41051 AS50917 AS52210 AS53667 AS199545 AS209533"
"2023-11-08","ripencc","AS202076","AS207960"
"2023-11-08","ripencc","AS202359","AS33920 AS41495"
"2023-11-08","ripencc","AS203635","AS48581 AS50224 AS60310 AS204857"
"2023-11-08","ripencc","AS203843","AS6939 AS20473 AS53667"
"2023-11-08","ripencc","AS204857","AS20473 AS48581 AS60841"
"2023-11-08","ripencc","AS205603","AS59105"
"2023-11-08","ripencc","AS205789","AS200242 AS207960"
"2023-11-08","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-11-08","ripencc","AS210561","AS207960"
"2023-11-08","ripencc","AS210563","AS6939 AS34927 AS207960"
"2023-11-08","ripencc","AS211244","AS34927 AS207960"
"2023-11-08","ripencc","AS212245","AS200242 AS212068"
"2023-11-08","ripencc","AS212934","AS835 AS6939 AS34927 AS52210 AS53667 AS62513 AS205848 AS210667"
"2023-11-09","arin","AS970","AS54874"
"2023-11-09","arin","AS21957","AS970"
"2023-11-09","arin","AS40544","AS924 AS6939 AS12186 AS52025"
"2023-11-09","apnic","AS151642","AS6939 AS61138"
"2023-11-09","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-11-09","ripencc","AS48070","AS174 AS1299"
"2023-11-09","ripencc","AS48581","AS924 AS6939 AS15353 AS26930 AS30456 AS34465 AS34927 AS50224 AS52025 AS52210 AS60841 AS199765 AS200775 AS204857 AS209533 AS210537"
"2023-11-09","ripencc","AS48606","AS30893 AS54681 AS57974 AS59678 AS210691 AS212276"
"2023-11-09","ripencc","AS49159","AS48268 AS48581 AS48599 AS48717 AS50224 AS57870 AS59993 AS60310 AS60743 AS62414 AS199765 AS201398 AS203458 AS203597 AS203635 AS204474 AS209263 AS216462"
"2023-11-09","ripencc","AS49975","AS6939 AS52210"
"2023-11-09","ripencc","AS50224","AS48581 AS60310 AS204857"
"2023-11-09","ripencc","AS50391","AS6939 AS20473 AS48070"
"2023-11-09","ripencc","AS50555","AS970"
"2023-11-09","ripencc","AS52025","AS174 AS835 AS906 AS917 AS924 AS1299 AS6939 AS12186 AS18041 AS20473 AS21700 AS21738 AS25369 AS29802 AS34927 AS35133 AS35661 AS36369 AS48070 AS48605 AS50917 AS51519 AS52210 AS57695 AS61138 AS209022 AS209533"
"2023-11-09","ripencc","AS52210","AS174 AS835 AS6939 AS12186 AS62513"
"2023-11-09","ripencc","AS57194","AS924 AS52210"
"2023-11-09","ripencc","AS59678","AS6939 AS34927 AS55081"
"2023-11-09","ripencc","AS60310","AS924 AS6939 AS48581 AS50224 AS52025 AS52210 AS204857"
"2023-11-09","ripencc","AS60841","AS26863 AS30456 AS48581 AS204857"
"2023-11-09","ripencc","AS60900","AS6939 AS15353 AS21738 AS34465 AS34927 AS41051 AS48700 AS52210 AS58057 AS198304 AS205329 AS210667"
"2023-11-09","ripencc","AS200351","AS924 AS6939 AS20473 AS21738 AS34927 AS36369 AS41051 AS50917 AS52210 AS53667 AS199545 AS209533"
"2023-11-09","ripencc","AS202076","AS207960"
"2023-11-09","ripencc","AS202359","AS33920 AS41495"
"2023-11-09","ripencc","AS203635","AS48581 AS50224 AS60310 AS204857"
"2023-11-09","ripencc","AS203843","AS6939 AS20473 AS53667"
"2023-11-09","ripencc","AS204857","AS20473 AS48581 AS60841"
"2023-11-09","ripencc","AS205603","AS59105"
"2023-11-09","ripencc","AS205789","AS200242 AS207960"
"2023-11-09","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-11-09","ripencc","AS210561","AS207960"
"2023-11-09","ripencc","AS210563","AS6939 AS34927 AS207960"
"2023-11-09","ripencc","AS211244","AS34927 AS207960"
"2023-11-09","ripencc","AS212245","AS200242 AS212068"
"2023-11-09","ripencc","AS212934","AS835 AS6939 AS34927 AS52210 AS53667 AS62513 AS205848 AS210667"
"2023-11-10","arin","AS970","AS54874"
"2023-11-10","arin","AS21957","AS970"
"2023-11-10","arin","AS40544","AS924 AS6939 AS12186 AS52025"
"2023-11-10","apnic","AS151642","AS6939 AS61138"
"2023-11-10","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-11-10","ripencc","AS48070","AS174 AS1299"
"2023-11-10","ripencc","AS48581","AS924 AS6939 AS15353 AS26930 AS30456 AS34465 AS34927 AS50224 AS52025 AS52210 AS60841 AS199765 AS200775 AS204857 AS209533 AS210537"
"2023-11-10","ripencc","AS48606","AS30893 AS54681 AS57974 AS59678 AS210691 AS212276"
"2023-11-10","ripencc","AS49159","AS48268 AS48581 AS48599 AS48717 AS50224 AS57870 AS59993 AS60310 AS60743 AS62414 AS199765 AS201398 AS203458 AS203597 AS203635 AS204474 AS209263 AS216462"
"2023-11-10","ripencc","AS49975","AS6939 AS52210"
"2023-11-10","ripencc","AS50224","AS48581 AS60310 AS204857"
"2023-11-10","ripencc","AS50391","AS6939 AS20473 AS48070"
"2023-11-10","ripencc","AS50555","AS970"
"2023-11-10","ripencc","AS52025","AS174 AS835 AS906 AS917 AS924 AS1299 AS6939 AS12186 AS18041 AS20473 AS21700 AS21738 AS25369 AS29802 AS34927 AS35133 AS35661 AS36369 AS48070 AS48605 AS50917 AS51519 AS52210 AS57695 AS61138 AS209022 AS209533"
"2023-11-10","ripencc","AS52210","AS174 AS835 AS6939 AS12186 AS62513"
"2023-11-10","ripencc","AS57194","AS924 AS52210"
"2023-11-10","ripencc","AS59678","AS6939 AS34927 AS55081"
"2023-11-10","ripencc","AS60310","AS924 AS6939 AS48581 AS50224 AS52025 AS52210 AS204857"
"2023-11-10","ripencc","AS60841","AS26863 AS30456 AS48581 AS204857"
"2023-11-10","ripencc","AS60900","AS6939 AS15353 AS21738 AS34465 AS34927 AS41051 AS48700 AS52210 AS58057 AS198304 AS205329 AS210667"
"2023-11-10","ripencc","AS200351","AS924 AS6939 AS20473 AS21738 AS34927 AS36369 AS41051 AS50917 AS52210 AS53667 AS199545 AS209533"
"2023-11-10","ripencc","AS202076","AS207960"
"2023-11-10","ripencc","AS202359","AS33920 AS41495"
"2023-11-10","ripencc","AS203635","AS48581 AS50224 AS60310 AS204857"
"2023-11-10","ripencc","AS203843","AS6939 AS20473 AS53667"
"2023-11-10","ripencc","AS204857","AS20473 AS48581 AS60841"
"2023-11-10","ripencc","AS205603","AS59105"
"2023-11-10","ripencc","AS205789","AS200242 AS207960"
"2023-11-10","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-11-10","ripencc","AS210561","AS207960"
"2023-11-10","ripencc","AS210563","AS6939 AS34927 AS207960"
"2023-11-10","ripencc","AS211244","AS34927 AS207960"
"2023-11-10","ripencc","AS212245","AS200242 AS212068"
"2023-11-10","ripencc","AS212934","AS835 AS6939 AS34927 AS52210 AS53667 AS62513 AS205848 AS210667"
"2023-11-11","arin","AS970","AS54874"
"2023-11-11","arin","AS21957","AS970"
"2023-11-11","arin","AS40544","AS924 AS6939 AS12186 AS52025"
"2023-11-11","apnic","AS151642","AS6939 AS61138"
"2023-11-11","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-11-11","ripencc","AS48070","AS174 AS1299"
"2023-11-11","ripencc","AS48581","AS924 AS6939 AS15353 AS26930 AS30456 AS34465 AS34927 AS50224 AS52025 AS52210 AS60841 AS199765 AS200775 AS204857 AS209533 AS210537"
"2023-11-11","ripencc","AS48606","AS30893 AS54681 AS57974 AS59678 AS210691 AS212276"
"2023-11-11","ripencc","AS48700","AS34927 AS50917 AS207252"
"2023-11-11","ripencc","AS49159","AS48268 AS48581 AS48599 AS48717 AS50224 AS57870 AS59993 AS60310 AS60743 AS62414 AS199765 AS201398 AS203458 AS203597 AS203635 AS204474 AS209263 AS216462"
"2023-11-11","ripencc","AS49975","AS6939 AS52210"
"2023-11-11","ripencc","AS50224","AS48581 AS60310 AS204857"
"2023-11-11","ripencc","AS50391","AS6939 AS20473 AS48070"
"2023-11-11","ripencc","AS50555","AS970"
"2023-11-11","ripencc","AS52025","AS174 AS835 AS906 AS917 AS924 AS1299 AS6939 AS12186 AS18041 AS20473 AS21700 AS21738 AS25369 AS29802 AS34927 AS35133 AS35661 AS36369 AS48070 AS48605 AS50917 AS51519 AS52210 AS57695 AS61138 AS209022 AS209533"
"2023-11-11","ripencc","AS52210","AS174 AS835 AS6939 AS12186 AS62513"
"2023-11-11","ripencc","AS57194","AS924 AS52210"
"2023-11-11","ripencc","AS59678","AS6939 AS34927 AS55081"
"2023-11-11","ripencc","AS60310","AS924 AS6939 AS48581 AS50224 AS52025 AS52210 AS204857"
"2023-11-11","ripencc","AS60841","AS26863 AS30456 AS48581 AS204857"
"2023-11-11","ripencc","AS60900","AS6939 AS15353 AS21738 AS34465 AS34927 AS41051 AS48700 AS52210 AS58057 AS198304 AS205329 AS210667"
"2023-11-11","ripencc","AS200351","AS924 AS6939 AS20473 AS21738 AS34927 AS36369 AS41051 AS50917 AS52210 AS53667 AS199545 AS209533"
"2023-11-11","ripencc","AS202076","AS207960"
"2023-11-11","ripencc","AS202359","AS33920 AS41495"
"2023-11-11","ripencc","AS203635","AS48581 AS50224 AS60310 AS204857"
"2023-11-11","ripencc","AS203843","AS6939 AS20473 AS53667"
"2023-11-11","ripencc","AS204857","AS20473 AS48581 AS60841"
"2023-11-11","ripencc","AS205603","AS59105"
"2023-11-11","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-11-11","ripencc","AS210561","AS207960"
"2023-11-11","ripencc","AS210563","AS6939 AS34927 AS207960"
"2023-11-11","ripencc","AS212245","AS200242 AS212068"
